,First,Longitude,Latitude,Longitude_difference,Latitude_difference,distance(km),Latitdue_zlevel,Longitdue_zlevel,class
5,2023-06-11 10:39,128.213,23.906,1.099,-1.773,413.3089958,0.453068146,1.204868835,1
12,2023-06-14 20:18,125.896,25.704,-1.276,-1.962,17.75468022,0.596374761,0.738041916,1
13,2023-06-15 10:54,127.172,27.666,-0.652,1.022,252.3174241,0.752752725,0.995129162,1
14,2023-06-15 20:08,127.824,26.644,1.223,1.967,130.6728223,0.671295906,1.126493492,1
16,2023-06-16 20:18,127.503,23.166,0.598,1.034,191.4003238,0.39408767,1.061818722,1
22,2023-06-19 20:19,127.541,22.894,-0.777,-1.29,59.63953423,0.37240836,1.069474925,1
23,2023-06-20 10:42,128.318,24.184,2.473,-3.871,163.8569577,0.475225676,1.226024134,1
27,2023-06-22 14:01,103.93,49.971,-25.399,26.032,75.34438269,2.530535848,-3.687646524,1
29,2023-06-23 10:38,128.981,23.366,1.598,-2.604,72.91027312,0.410028339,1.359604733,1
35,2023-06-26 10:49,125.141,21.293,57.216,-38.357,47.80390164,0.244803304,0.585925246,1
46,2023-07-02 20:33,124.59,23.558,-1.398,-2.359,300.5621452,0.425331382,0.474910299,1
47,2023-07-03 10:57,125.988,25.917,-0.772,1.223,297.8833488,0.613351574,0.756577987,1
56,2023-07-07 20:51,123.68,17.85,-2.144,-4.084,119.6361509,-0.029615315,0.291564379,1
61,2023-07-10 10:56,125.523,25.041,-0.517,0.825,201.3127472,0.543531443,0.662890237,1
65,2023-07-12 10:57,125.214,25.114,-2.266,4.029,69.9483418,0.549349787,0.600633215,1
75,2023-07-17 10:52,125.845,24.628,-0.26,0.381,290.9026135,0.510613961,0.727766485,1
84,2023-07-21 20:48,124.166,21.161,-2.505,-4.966,22.76273759,0.234282462,0.389483189,1
102,2023-07-30 20:47,124.786,22.536,-0.244,-0.677,147.9849749,0.343874562,0.514400189,1
119,2023-08-08 10:38,124.595,20.31,-2.733,7.584,505.5922482,0.166454915,0.475917694,0
121,2023-08-09 10:16,127.686,13.93,2.769,-7.932,139.3696062,-0.342052429,1.098689385,1
122,2023-08-09 20:52,124.917,21.862,-0.857,-2.381,929.2948021,0.290154507,0.540793943,0
124,2023-08-10 20:45,126.254,23.214,0.769,1.849,124.4153635,0.397913431,0.81017141,1
126,2023-08-11 20:51,126.089,19.874,0.396,0.955,177.3071924,0.131704257,0.776927369,1
141,2023-08-19 12:35,111.963,54.464,27.034,-13.633,348.9318021,2.888642979,-2.069165451,1
142,2023-08-19 20:35,84.929,68.097,-0.221,-0.242,2060.877845,3.975238689,-7.51594963,0
144,2023-08-21 20:58,125.94,17.013,-0.468,-1.95,6379.664787,-0.096327015,0.746906993,0
151,2023-08-25 10:39,122.458,25.024,-0.341,0.884,126.09645,0.542176486,0.045357,1
158,2023-08-28 21:21,120.457,17.391,0.788,3.461,113.182259,-0.06619915,-0.357802545,1
175,2023-09-06 10:24,119.778,2.769,0.293,-2.594,87.77373146,-1.231621469,-0.494606808,1
203,2023-10-11 21:34,120.456,32.348,-0.094,2.024,30.81103662,1.125923789,-0.358004024,1
207,2023-10-13 21:32,121.208,31.552,-0.345,3.762,353.0656487,1.062479926,-0.206491791,1
208,2023-10-14 9:49,121.553,27.79,0.029,1.001,419.640267,0.76263594,-0.136981525,1
224,2023-10-22 9:41,121.413,29.008,0.144,1.252,337.8265109,0.859714615,-0.165188589,1
227,2023-10-23 21:32,120.734,20.415,0.392,-1.671,566.3846955,0.174823766,-0.301992853,0
233,2023-10-26 21:34,121.521,25.055,0.012,0.301,486.6331748,0.54464729,-0.143428854,1
235,2023-10-27 21:34,120.748,20.995,0.135,-0.32,425.1868638,0.221051707,-0.299172146,1
236,2023-10-28 9:46,120.613,21.315,-0.24,-0.772,38.23735614,0.246556777,-0.326371816,1
237,2023-10-28 21:35,120.853,22.087,-0.116,0.787,89.35171683,0.30808776,-0.278016848,1
240,2023-10-30 9:42,121.204,21.813,0.006,0.292,27.25232311,0.286249044,-0.207297707,1
