,First,Longitude,Latitude,Longitude_difference,Latitude_difference,Latitdue_zlevel,Longitdue_zlevel,Month,class
2,2023-06-09 10:49:48,126.363,25.306,-0.025000000000005684,0.08300000000000196,0.5298151087664875,0.9187500619725922,6,1.0
7,2023-06-11 20:13:48,127.114,25.679,0.5990000000000038,1.0079999999999991,0.5557301654742619,1.0770873025117993,6,1.0
14,2023-06-15 10:54:48,127.172,27.666,-0.652000000000001,1.022000000000002,0.6937816874001285,1.0893157445241466,6,1.0
17,2023-06-16 20:18:48,127.503,23.166,0.597999999999999,1.033999999999999,0.3811335501749655,1.1591021980773792,6,1.0
21,2023-06-18 20:17:48,127.486,23.745,0.2220000000000084,0.37900000000000134,0.4213609438312698,1.1555179995565192,6,1.0
24,2023-06-20 10:42:48,128.318,24.184,2.473000000000013,-3.8709999999999987,0.45186150655168017,1.3309328918715935,6,1.0
27,2023-06-21 20:16:48,103.153,49.516,-0.777000000000001,-0.4549999999999983,2.2118620870378645,-3.974735095038024,6,1.0
46,2023-07-02 10:46:48,125.941,21.161,1.350999999999999,-2.3969999999999985,0.2418314357001985,0.8297776045723998,7,1.0
52,2023-07-05 11:04:48,126.452,29.404,-0.5210000000000008,0.7280000000000015,0.8145333457328692,0.9375143954053341,7,1.0
83,2023-07-20 20:25:48,126.905,26.681,2.8689999999999998,5.355,0.6253464840297317,1.0330227442259212,7,1.0
89,2023-07-23 20:39:48,126.433,21.584,0.24800000000000466,0.4059999999999988,0.2712203605993637,0.9335085264702562,7,1.0
97,2023-07-27 20:27:48,128.311,24.864,1.7530000000000001,3.553000000000001,0.4991061139545937,1.3294570454218262,7,1.0
102,2023-07-30 10:51:48,124.167,23.739,-0.6189999999999998,1.2029999999999994,0.42094407964830294,0.4557559471602137,7,1.0
107,2023-08-01 20:42:48,125.008,25.305,-0.7409999999999997,-1.716000000000001,0.5297456314026596,0.6330683563392702,8,1.0
109,2023-08-02 20:36:48,126.99,24.541,1.3859999999999957,3.0070000000000014,0.47666492543820976,1.0509437368302241,8,1.0
112,2023-08-04 10:30:48,127.583,21.237,1.2620000000000005,-3.1260000000000012,0.24711171535111215,1.175969014646136,8,1.0
114,2023-08-05 10:40:48,126.058,23.929,-0.36199999999999477,0.6789999999999985,0.43414477877558744,0.8544453238042079,8,1.0
119,2023-08-07 20:41:48,126.361,24.554,1.7660000000000053,4.244,0.4775681311679712,0.9183283915583743,8,1.0
124,2023-08-10 10:38:48,125.774,24.243,-0.480000000000004,1.029,0.455960671017521,0.7945681249851193,8,1.0
132,2023-08-14 10:26:48,126.353,19.655,0.2740000000000009,-1.0109999999999992,0.1371985257755106,0.9166417099014966,8,1.0
142,2023-08-19 12:35:48,111.963,54.464,27.033999999999992,-13.632999999999996,2.555636083257888,-2.1172769204036648,8,1.0
147,2023-08-22 20:54:48,126.376,19.32,-0.5929999999999893,-2.3790000000000013,0.11392360889319285,0.9214909196650164,8,1.0
150,2023-08-24 10:18:48,125.527,16.052,2.659000000000006,-10.044,-0.11312841609610336,0.7424918288290822,8,1.0
159,2023-08-28 21:21:48,120.457,17.391,0.7879999999999967,3.4609999999999985,-0.020098225930660504,-0.32644267121589277,8,1.0
168,2023-09-02 10:24:48,119.608,-1.463,0.291000000000011,-2.1430000000000002,-1.3300244435402657,-0.505441762051824,9,1.0
173,2023-09-04 21:40:48,119.278,-6.635,-0.708999999999989,-6.116,-1.6893613692577194,-0.5750173803979461,9,1.0
178,2023-09-07 10:26:48,120.818,15.759,-0.20700000000000784,1.0790000000000006,-0.1334852836976528,-0.250331161449376,9,1.0
181,2023-09-08 21:22:48,121.94,7.249,1.043999999999997,10.559999999999999,-0.72473764987235,-0.013774059072559448,9,1.0
186,2023-09-11 10:23:48,120.222,10.7,-1.456000000000003,17.83,-0.4849712673025639,-0.37598894488661627,9,1.0
193,2023-09-14 21:28:48,121.537,-22.717,-0.20599999999998886,-4.605999999999998,-2.8066963343366242,-0.09874064753767095,9,1.0
196,2023-10-07 09:54:48,120.764,57.48,0.41100000000000136,15.293,2.765179812562575,-0.2617162626332874,10,1.0
197,2023-10-07 21:34:48,120.353,42.187,-0.09000000000000341,4.223999999999997,1.7026624875438154,-0.34836953275527666,10,1.0
212,2023-10-15 09:49:48,120.745,32.042,0.402000000000001,3.830000000000002,0.9978146315106426,-0.2657221315683653,10,1.0
214,2023-10-16 09:52:48,120.94,23.159,-0.22400000000000375,-1.0370000000000026,0.3806472086281707,-0.22460926618202165,10,1.0
227,2023-10-22 21:35:48,121.269,27.756,-0.3569999999999993,2.314,0.7000346501446317,-0.15524448304300695,10,1.0
237,2023-10-27 21:34:48,120.748,20.995,0.13500000000000512,-0.3200000000000003,0.23029819330478135,-0.26508962594703694,10,1.0
241,2023-10-29 21:34:48,121.211,22.058,0.007000000000005002,0.245000000000001,0.30415263105374757,-0.16747292505535724,10,1.0
242,2023-10-30 09:42:48,121.204,21.813,0.006000000000000227,0.29199999999999804,0.287130676915933,-0.16894877150512452,10,1.0
246,2023-11-01 09:46:48,119.684,22.764,-0.2469999999999999,-0.6980000000000004,0.3532036499161842,-0.48941828631150625,11,1.0
248,2023-11-02 09:44:48,120.929,19.352,0.12600000000000477,0.6960000000000015,0.11614688453568289,-0.22692845346022483,11,1.0
252,2023-11-04 09:46:48,121.054,16.208,-0.3780000000000001,-1.238000000000003,-0.10228994733896446,-0.20057405257154204,11,1.0
255,2023-11-05 21:33:48,121.939,20.702,0.36999999999999034,-1.0989999999999966,0.2099413257032319,-0.013984894279669917,11,1.0
261,2023-11-08 21:38:48,120.732,19.599,-0.3850000000000051,1.4520000000000017,0.13330779340115295,-0.26846298926078943,11,1.0
267,2023-11-11 21:36:48,121.181,18.266,0.35899999999999466,-0.9920000000000009,0.040694467418676744,-0.17379798126864132,11,1.0
270,2023-11-13 09:41:48,120.231,20.888,-0.3930000000000007,-1.0329999999999977,0.22286411537520529,-0.374091428022631,11,1.0
276,2023-11-16 09:42:48,120.604,18.549,-0.27299999999999613,-0.6780000000000008,0.0603565613819482,-0.29544989577080066,11,1.0
277,2023-11-16 21:41:48,120.877,19.227,0.4749999999999943,-1.2459999999999987,0.10746221405720614,-0.23789188422991828,11,1.0
285,2023-11-20 21:46:48,120.723,20.73,-0.1560000000000059,0.5390000000000015,0.2118866918904106,-0.2703605061247747,11,1.0
289,2023-11-22 21:47:48,120.603,20.291,-0.1600000000000108,0.527000000000001,0.18138612917000024,-0.2956607309779111,11,1.0
300,2023-11-28 09:46:48,119.153,19.501,-0.41799999999999216,-0.9649999999999999,0.12649901174602723,-0.6013717812866289,11,1.0
319,2023-12-07 21:50:48,121.459,18.76,-0.054000000000002046,0.1720000000000006,0.0750162851496171,-0.11518579369220962,12,1.0
320,2023-12-08 09:40:48,121.513,18.588,0.5690000000000026,1.3800000000000026,0.06306617857123305,-0.10380069250829822,12,1.0
328,2023-12-12 09:43:48,121.092,18.589,0.3160000000000025,0.7579999999999991,0.0631356559350607,-0.19256231470138319,12,1.0
332,2023-12-14 09:50:48,119.703,18.196,-0.8100000000000023,-1.8199999999999967,0.03583105195072999,-0.4854124173764253,12,1.0
337,2023-12-16 21:57:48,120.379,17.383,0.43900000000000716,-0.9879999999999995,-0.020654044841282956,-0.34288781737042845,12,1.0
347,2023-12-21 22:07:48,119.995,20.692,-0.5609999999999928,1.254999999999999,0.20924655206495366,-0.423848536900462,12,1.0
